Name,Diameter (miles),Rotation Period (hours),Length of Day (hours),Primary,Distance from Primary (10^6 miles),Perihelion (10^6 miles),Aphelion (10^6 miles),Orbital Period (days),Orbital Velocity (miles/s),Orbital Inclination (degrees),Orbital Eccentricity,Obliquity to Orbit (degrees)
Sun,865370,0,0,Sun,0,0,0,0,0,0,0,0
Mercury,3032,1407.6,4222.6,Sun,36,28.6,43.4,88,29.4,7,0.205,0.034
Venus,7521,-5832.5,2802,Sun,67.2,66.8,67.7,224.7,21.8,3.4,0.007,177.4
Earth,7926,23.9,24,Sun,93,91.4,94.5,365.2,18.5,0,0.017,23.4
Moon,2159,655.7,708.7,Earth,0.239,0.226,0.252,27.3,0.64,5.1,0.055,6.7
Mars,4221,24.6,24.7,Sun,141.6,128.4,154.9,687,15,1.9,0.094,25.2
Jupiter,88846,9.9,9.9,Sun,483.8,460.1,507.4,4331,8.1,1.3,0.049,3.1
Saturn,74897,10.7,10.7,Sun,890.8,840.4,941.1,10747,6,2.5,0.057,26.7
Uranus,31763,-17.2,17.2,Sun,1784.8,1703.4,1866.4,30589,4.2,0.8,0.046,97.8
Neptune,30775,16.1,16.1,Sun,2793.1,2761.6,2824.5,59800,3.4,1.8,0.011,28.3
Pluto,1464,-153.3,153.3,Sun,3670,2756.9,4583.2,90560,2.9,17.2,0.244,122.5
